"pxcor","pycor","pcolor","plabel","plabel-color"
"50","-31","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"51","-31","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"52","-31","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"53","-31","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"54","-31","[42.5 167.5 42.5]","""""","9.9"
"55","-31","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"56","-31","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"57","-31","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"58","-31","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"59","-31","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"60","-31","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"61","-31","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"62","-31","[127.5 202.5 127.5]","""""","9.9"
"63","-31","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"64","-31","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-64","-32","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-63","-32","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-62","-32","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-61","-32","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-60","-32","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-59","-32","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-58","-32","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-57","-32","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-56","-32","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-55","-32","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-54","-32","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-53","-32","[42.5 167.5 42.5]","""""","9.9"
"-52","-32","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-51","-32","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-50","-32","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-49","-32","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-48","-32","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-47","-32","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-46","-32","[0 150 0]","""""","9.9"
"-45","-32","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-44","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-43","-32","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-42","-32","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-41","-32","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-40","-32","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-39","-32","[148.75 211.25 148.75]","""""","9.9"
"-38","-32","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-37","-32","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-36","-32","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-35","-32","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-34","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-33","-32","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-32","-32","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-31","-32","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-30","-32","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-29","-32","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-28","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-27","-32","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-26","-32","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-25","-32","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-24","-32","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-23","-32","[148.75 211.25 148.75]","""""","9.9"
"-22","-32","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-21","-32","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-20","-32","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-19","-32","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-18","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-17","-32","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-16","-32","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-15","-32","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-14","-32","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-13","-32","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-12","-32","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-11","-32","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-10","-32","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-9","-32","[233.75 246.25 233.75]","""""","9.9"
"-8","-32","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-7","-32","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-6","-32","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-5","-32","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-4","-32","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-3","-32","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-2","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-1","-32","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"0","-32","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"1","-32","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"2","-32","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"3","-32","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"4","-32","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"5","-32","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"6","-32","[212.5 237.5 212.5]","""""","9.9"
"7","-32","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"8","-32","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"9","-32","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"10","-32","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"11","-32","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"12","-32","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"13","-32","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"14","-32","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"15","-32","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"16","-32","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"17","-32","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"18","-32","0","""""","9.9"
"19","-32","0","""""","9.9"
"20","-32","0","""""","9.9"
"21","-32","0","""""","9.9"
"22","-32","0","""""","9.9"
"23","-32","0","""""","9.9"
"24","-32","0","""""","9.9"
"25","-32","0","""""","9.9"
"26","-32","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"27","-32","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"28","-32","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"29","-32","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"30","-32","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"31","-32","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"32","-32","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"33","-32","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"34","-32","[148.75 211.25 148.75]","""""","9.9"
"35","-32","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"36","-32","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"37","-32","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"38","-32","[191.25 228.75 191.25]","""""","9.9"
"39","-32","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"40","-32","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"41","-32","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"42","-32","[148.75 211.25 148.75]","""""","9.9"
"43","-32","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"44","-32","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"45","-32","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"46","-32","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"47","-32","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"48","-32","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"49","-32","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"50","-32","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"51","-32","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"52","-32","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"53","-32","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"54","-32","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"55","-32","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"56","-32","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"57","-32","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"58","-32","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"59","-32","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"60","-32","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"61","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"62","-32","[106.25 193.75 106.25]","""""","9.9"
"63","-32","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"64","-32","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-64","-33","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-63","-33","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-62","-33","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-61","-33","[42.5 167.5 42.5]","""""","9.9"
"-60","-33","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-59","-33","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-58","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-57","-33","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-56","-33","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-55","-33","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-54","-33","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-53","-33","[21.25 158.75 21.25]","""""","9.9"
"-52","-33","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-51","-33","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-50","-33","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-49","-33","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-48","-33","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-47","-33","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-46","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-45","-33","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-44","-33","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-43","-33","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-42","-33","[148.75 211.25 148.75]","""""","9.9"
"-41","-33","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-40","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-39","-33","[170 220 170]","""""","9.9"
"-38","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-37","-33","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-36","-33","[148.75 211.25 148.75]","""""","9.9"
"-35","-33","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-34","-33","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-33","-33","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-32","-33","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-31","-33","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-30","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-29","-33","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-28","-33","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-27","-33","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-26","-33","[148.75 211.25 148.75]","""""","9.9"
"-25","-33","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-24","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-23","-33","[170 220 170]","""""","9.9"
"-22","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-21","-33","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-20","-33","[148.75 211.25 148.75]","""""","9.9"
"-19","-33","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-18","-33","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-17","-33","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-16","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-15","-33","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-14","-33","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-13","-33","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-12","-33","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-11","-33","[212.5 237.5 212.5]","""""","9.9"
"-10","-33","[233.75 246.25 233.75]","""""","9.9"
"-9","-33","9.9","""""","9.9"
"-8","-33","[233.75 246.25 233.75]","""""","9.9"
"-7","-33","[212.5 237.5 212.5]","""""","9.9"
"-6","-33","[191.25 228.75 191.25]","""""","9.9"
"-5","-33","[170 220 170]","""""","9.9"
"-4","-33","[148.75 211.25 148.75]","""""","9.9"
"-3","-33","[127.5 202.5 127.5]","""""","9.9"
"-2","-33","[106.25 193.75 106.25]","""""","9.9"
"-1","-33","[85 185 85]","""""","9.9"
"0","-33","[63.75 176.25 63.75]","""""","9.9"
"1","-33","[42.5 167.5 42.5]","""""","9.9"
"2","-33","[21.25 158.75 21.25]","""""","9.9"
"3","-33","[0 150 0]","""""","9.9"
"4","-33","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"5","-33","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"6","-33","[233.75 246.25 233.75]","""""","9.9"
"7","-33","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"8","-33","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"9","-33","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"10","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"11","-33","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"12","-33","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"13","-33","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"14","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"15","-33","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"16","-33","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"17","-33","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"18","-33","0","""""","9.9"
"19","-33","0","""""","9.9"
"20","-33","[0 150 0]","""""","9.9"
"21","-33","0","""""","9.9"
"22","-33","0","""""","9.9"
"23","-33","0","""""","9.9"
"24","-33","0","""""","9.9"
"25","-33","0","""""","9.9"
"26","-33","0","""""","9.9"
"27","-33","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"28","-33","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"29","-33","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"30","-33","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"31","-33","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"32","-33","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"33","-33","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"34","-33","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"35","-33","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"36","-33","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"37","-33","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"38","-33","[212.5 237.5 212.5]","""""","9.9"
"39","-33","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"40","-33","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"41","-33","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"42","-33","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"43","-33","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"44","-33","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"45","-33","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"46","-33","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"47","-33","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"48","-33","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"49","-33","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"50","-33","[42.5 167.5 42.5]","""""","9.9"
"51","-33","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"52","-33","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"53","-33","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"54","-33","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"55","-33","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"56","-33","[42.5 167.5 42.5]","""""","9.9"
"57","-33","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"58","-33","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"59","-33","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"60","-33","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"61","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"62","-33","[85 185 85]","""""","9.9"
"63","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"64","-33","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-64","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-63","-34","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-62","-34","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-61","-34","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-60","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-59","-34","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-58","-34","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-57","-34","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-56","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-55","-34","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-54","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-53","-34","[0 150 0]","""""","9.9"
"-52","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-51","-34","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-50","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-49","-34","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-48","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-47","-34","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-46","-34","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-45","-34","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-44","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-43","-34","[148.75 211.25 148.75]","""""","9.9"
"-42","-34","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"-41","-34","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-40","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-39","-34","[191.25 228.75 191.25]","""""","9.9"
"-38","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-37","-34","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-36","-34","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"-35","-34","[148.75 211.25 148.75]","""""","9.9"
"-34","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-33","-34","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-32","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-31","-34","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-30","-34","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-29","-34","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-28","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-27","-34","[148.75 211.25 148.75]","""""","9.9"
"-26","-34","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"-25","-34","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-24","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-23","-34","[191.25 228.75 191.25]","""""","9.9"
"-22","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-21","-34","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-20","-34","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"-19","-34","[148.75 211.25 148.75]","""""","9.9"
"-18","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-17","-34","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-16","-34","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-15","-34","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-14","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-13","-34","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-12","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-11","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-10","-34","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-9","-34","[233.75 246.25 233.75]","""""","9.9"
"-8","-34","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-7","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-6","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-5","-34","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-4","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-3","-34","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-2","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-1","-34","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"0","-34","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"1","-34","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"2","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"3","-34","[191.25 228.75 191.25]","""""","9.9"
"4","-34","[212.5 237.5 212.5]","""""","9.9"
"5","-34","[233.75 246.25 233.75]","""""","9.9"
"6","-34","9.9","""""","9.9"
"7","-34","[233.75 246.25 233.75]","""""","9.9"
"8","-34","[212.5 237.5 212.5]","""""","9.9"
"9","-34","[191.25 228.75 191.25]","""""","9.9"
"10","-34","[170 220 170]","""""","9.9"
"11","-34","[148.75 211.25 148.75]","""""","9.9"
"12","-34","[0 150 0]","""""","9.9"
"13","-34","[106.25 193.75 106.25]","""""","9.9"
"14","-34","[85 185 85]","""""","9.9"
"15","-34","[63.75 176.25 63.75]","""""","9.9"
"16","-34","[42.5 167.5 42.5]","""""","9.9"
"17","-34","[21.25 158.75 21.25]","""""","9.9"
"18","-34","[0 150 0]","""""","9.9"
"19","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"20","-34","[21.25 158.75 21.25]","""""","9.9"
"21","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"22","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"23","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"24","-34","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"25","-34","0","""""","9.9"
"26","-34","0","""""","9.9"
"27","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"28","-34","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"29","-34","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"30","-34","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"31","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"32","-34","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"33","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"34","-34","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"35","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"36","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"37","-34","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"38","-34","[233.75 246.25 233.75]","""""","9.9"
"39","-34","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
